metric_code,record_scope,kind,slot,logical_type,width_bytes,applicability,state_semantics,storage_action,occurrence_formula,aggregate_rule,failure_semantics,status
common.file.byte_order,file_header,common,header,ENUM8,1,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,little_endian_candidate,owner_blocked
common.file.schema_version,file_header,common,header,U16,2,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,immutable_schema_version,owner_blocked
common.file.registry_digest,file_header,common,header,BYTES32,32,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,complete_metric_registry_sha256,owner_blocked
common.file.content_digest,file_header,common,header,BYTES32,32,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,sha256_of_exact_file_bytes_with_this_digest_slot_canonical_zero,owner_blocked
common.file.record_count,file_header,common,header,U64,8,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,exact_records_in_file,owner_blocked
common.file.byte_count,file_header,common,header,U64,8,every_output_file;file_partition_count_owner_blocked,field_specific;missing_header_is_schema_failure,persist,N_output_files_unresolved,file_identity_and_completeness,exact_uncompressed_file_bytes,owner_blocked
common.conformance.cp95_worst_case_half_width,global_algorithm_conformance,common,conformance_extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,one_global_R=120000_two_sided_95pct_exact_binomial_reference_scan,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state;VALUE_only_if_all_120001_two_sided_95pct_CP_intervals_are_finite_and_reference_conformant;SCIENTIFIC_UNDEFINED_if_the_complete_scan_is_reached_but_any_interval_or_half_width_is_invalid;NOT_REACHED_until_reference_algorithm_lock_and_complete_scan,persist,one_global_conformance_record,maximum_over_success_counts_x=0..120000_of_(upper_x-lower_x)/2,false_or_invalid_conformance_is_a_conclusive_common_numerical_failure;missing_record_makes_both_family_decisions_INCOMPLETE,owner_blocked
common.conformance.cp95_worst_case_argmax_successes,global_algorithm_conformance,common,conformance_extension,U32,5_including_4_payload+1_element_state_mask;record_framing_unresolved,one_global_R=120000_two_sided_95pct_exact_binomial_reference_scan,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state;VALUE_iff_the_worst_case_half_width_is_VALUE;SCIENTIFIC_UNDEFINED_with_an_invalid_completed_scan;NOT_REACHED_before_complete_scan,persist,one_global_conformance_record,smallest_x_attaining_the_maximum_half_width,false_or_invalid_conformance_is_a_conclusive_common_numerical_failure;missing_record_makes_both_family_decisions_INCOMPLETE,owner_blocked
common.conformance.cp95_half_width_pass,global_algorithm_conformance,common,conformance_extension,BOOL,2_including_1_payload+1_element_state_mask;record_framing_unresolved,one_global_R=120000_two_sided_95pct_exact_binomial_reference_scan,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE payload=canonical_zero;NaN_prohibited_as_state;VALUE_true_or_false_after_complete_scan;false_if_any_numerical_nonconformance_or_if_finite_maximum>=0.003;NOT_REACHED_before_complete_scan,persist,one_global_conformance_record,true_iff_worst_case_half_width_strictly_less_than_0.003,false_or_invalid_conformance_is_a_conclusive_common_numerical_failure;missing_record_makes_both_family_decisions_INCOMPLETE,owner_blocked
common.cell.catalogue_index,cell_catalogue,common,dictionary,U32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,zero_based_lexicographic_rank_of_canonical_identifier_in_combined_reliability_plus_mv1_manifest_anchored_by_combined_manifest_sha256,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.kind,cell_catalogue,common,dictionary,ENUM8,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,reliability_or_mv1_enum_crosschecked_against_canonical_identifier,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.canonical_identity,cell_catalogue,common,dictionary,UTF8,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.canonical_identity_length,cell_catalogue,common,dictionary,U32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.canonical_identity_digest,cell_catalogue,common,dictionary,BYTES32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.family_mask,cell_catalogue,common,dictionary,U8,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.lock_index,cell_static_lock,common,dictionary,U32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.lock_status,cell_static_lock,common,dictionary,ENUM16,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.lock_failure,cell_static_lock,common,dictionary,ENUM16,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.outer_replications,cell_static_lock,common,dictionary,U32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.bootstrap_resamples,cell_static_lock,common,dictionary,U32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.software_lock_digest,cell_static_lock,common,dictionary,BYTES32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.algorithm_lock_digest,cell_static_lock,common,dictionary,BYTES32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.cell.permutation_payload_digest,cell_static_lock,common,dictionary,BYTES32,variable_or_parent_schema,every_candidate_cell,field_specific;no_scientific_undefined_encoding,persist,N_cells,identity_only,cell_static_failure_if_missing_or_mismatched,freeze_candidate
common.dictionary.identifier_header,identifier_dictionary,common,schema,U16_dictionary+U32_count+U32_bytes,10_plus_entries,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,N_identifier_dictionaries_unresolved,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.dictionary.identifier_entry,identifier_dictionary,common,schema,U16_length+UTF8,2_plus_UTF8_length,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,sum_dictionary_entries_unresolved,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.dictionary.permutation_header,permutation_dictionary,common,schema,U32_cell+U16_tag_length+U32_list_length+U16_dictionary,12_plus_tag_and_indices,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,N_permutations_unresolved,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.dictionary.permutation_payload,permutation_dictionary,common,schema,UTF8_tag+U16[],tag_bytes_plus_2_times_list_length,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,permutation_payload_bytes_unresolved,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.completion.bitmap,completion_bitmap,common,schema,BITSET120000,15000,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,N_rel_cells+N_mv_candidate_cells,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,freeze_candidate
common.journal.chunk,chunk_journal,common,schema,FIXED52,52,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,between_N_executable_cells_and_N_executable_cells*R_before_retries,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.failure.detail,failure_detail,common,schema,FIXED28+UTF8,28_plus_UTF8_length,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,unresolved_until_failure_and_retry_policy,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.execution.attempt,execution_attempt_sidecar,common,schema,"FIXED32{U64_first_join_key,U32_identity_count,ENUM16_work_unit_kind,U16_attempt_ordinal,ENUM16_outcome,U16_registry_version,U32_failure_detail_ref,U32_chunk_journal_ref,U32_reserved_zero}",32,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,one_record_per_scheduled_atomic_work_unit_attempt_including_initial_success_failure_or_retry;occurrence_unresolved,"separate_content_digested_logical_stream;global_catalogue_index_is_lexicographic_rank_in_combined_manifest;outer_join_key=(global_cell_index<<32)|outer_index;reserved_low32_codes_0x80000000=static_cell,0x80000001=mv_calibration_present,0x80000002=mv_calibration_absent,0x80000003=cell_aggregate;global_cell_index_0xffffffff_with_low32_0=REL_family,1=MV_family,2=CP95_conformance;work_unit_kind_ENUM16:1=REL_STATIC,2=REL_OUTER_RANGE,3=MV_STATIC,4=MV_CAL_PRESENT,5=MV_CAL_ABSENT,6=MV_OUTER_RANGE,7=CELL_AGGREGATE,8=REL_FAMILY,9=MV_FAMILY,10=CP95_CONFORMANCE;outcome_ENUM16:1=COMMITTED,2=INTERRUPTED_RETRYABLE,3=INFRASTRUCTURE_FAILED_FINAL,4=INTEGRITY_REJECTED,5=DUPLICATE_IDENTICAL_DISCARDED;scientific_failure_can_be_COMMITTED;outer_range_join_requires_same_global_cell_index_and_first_join_key<=outer_join_key<first_join_key+identity_count;identity_count_positive_and_range_cannot_cross_R=120000_or_reserved_low32_codes;overlapping_committed_ranges_are_schema_failure;static_calibration_cell_aggregate_and_family_work_units_require_identity_count=1;attempt_ordinal_is_contiguous_zero_based_U16_per_atomic_work_identity_and_overflow_is_schema_failure;failure_detail_ref_or_chunk_journal_ref_zero_means_absent_and_positive_refs_are_partition_local;reference_above_U32_requires_new_reviewed_partition_or_schema",missing_or_malformed_record_is_schema_failure,owner_blocked
common.aggregate.record,cell_aggregate,common,schema,"FIXED16{U32_cell_index,U16_registry_version,ENUM16_status,U32_aggregate_field_count,U32_payload_byte_count}+2bit_field_state_mask+typed_registry_payload",16_plus_typed_registry_payload,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,N_cells,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.family.record,family_aggregate,common,schema,typed_registry_payload,typed_family_extension_unresolved,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,2,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.state_mask.reliability,outer_state_mask,common,schema,2BIT[32],8,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,sum_rel_cells(M_c),identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,freeze_candidate
common.state_mask.mv1,outer_state_mask,common,schema,2BIT[64],16,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,sum_mv_cells(M_c),identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,freeze_candidate
rel.event_mask.dictionary,registry_dictionary,reliability,schema,BIT_DICTIONARY,registry_extension_unresolved,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,1,"bits0:alpha_point,1:alpha_lower,2:macro,3-6:class_c0-c3,7:allocation,8:missing_overall,9:reader_span,10:arm_span,11:complete_gate,12:coverage,13:outer_nonestimable,14:any_undefined_bootstrap",missing_or_malformed_record_is_schema_failure,freeze_candidate
mv.event_mask.dictionary,registry_dictionary,mv1,schema,BIT_DICTIONARY,registry_extension_unresolved,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,1,"bits0:yield_present,1:yield_absent,2:q_bal,3:q_present,4:q_absent,5:simultaneous_coverage,6:FE_pass,7:LOO_pass,8:no_veto,9:complete_joint,10-12:marginal_coverage_bal-present-absent,13:joint_yield,14:complete_q,15:outer_nonestimable,16:any_undefined_bootstrap",missing_or_malformed_record_is_schema_failure,freeze_candidate
common.failure_component.dictionary,registry_dictionary,common,schema,BIT_DICTIONARY,registry_extension_unresolved,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,1,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
common.scientific_status.dictionary,registry_dictionary,common,schema,ENUM_DICTIONARY,registry_extension_unresolved,as_named_by_record_scope,structure_specific;never_NaN_sentinel,persist,1,identity_completion_restart_failure_or_registry_audit,missing_or_malformed_record_is_schema_failure,owner_blocked
rel.cell.axis,cell_static_extension,reliability,extension,ENUM16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_after_manifest_identity_verification;never_scientifically_undefined,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,axis_dictionary,freeze_candidate
rel.cell.category_count,cell_static_extension,reliability,extension,U8,2_including_1_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_after_manifest_identity_verification;never_scientifically_undefined,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,K_g,freeze_candidate
rel.cell.included_item_count,cell_static_extension,reliability,extension,U16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_after_manifest_identity_verification;never_scientifically_undefined,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,N_g,freeze_candidate
rel.cell.panel_size,cell_static_extension,reliability,extension,U8,2_including_1_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_after_manifest_identity_verification;never_scientifically_undefined,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,P_g,freeze_candidate
rel.cell.roster_size,cell_static_extension,reliability,extension,U8,2_including_1_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_after_manifest_identity_verification;never_scientifically_undefined,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,roster_g,freeze_candidate
rel.cell.repeat_domain_count,cell_static_extension,reliability,extension,U16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_only_after_owner_frozen_domain_or_payload;NOT_REACHED_while_owner_blocked;zero_is_not_a_substitute,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,D_g,owner_blocked
rel.cell.ambiguity_domain_count,cell_static_extension,reliability,extension,U16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_only_after_owner_frozen_domain_or_payload;NOT_REACHED_while_owner_blocked;zero_is_not_a_substitute,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,H_g,owner_blocked
rel.cell.assignment_digest,cell_static_extension,reliability,extension,BYTES32,33_including_32_payload+1_element_state_mask;record_framing_unresolved,owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_only_after_owner_frozen_domain_or_payload;NOT_REACHED_while_owner_blocked;zero_is_not_a_substitute,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,abstract_item_and_assignment_payload,owner_blocked
rel.cell.missing_intercept,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness;missingness_bisection_rule_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;NOT_REACHED_until_signed_residual_bracket_predicate_midpoint_equality_update_and_post_100_cached_candidate_selection_rules_are_owner_frozen_or_if_static_stage_not_entered;VALUE_if_required_bracket_passes_and_selected_candidate_is_finite_even_when_residual_tolerance_fails;SCIENTIFIC_UNDEFINED_if_selection_is_attempted_without_a_finite_candidate,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,solved_intercept,owner_blocked
rel.cell.missing_endpoint_lower,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;VALUE_for_required_reader_or_class_solve_frozen_finite_endpoint;NOT_REACHED_if_static_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,frozen_bracket_lower_minus_30,freeze_candidate
rel.cell.missing_endpoint_upper,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;VALUE_for_required_reader_or_class_solve_frozen_finite_endpoint;NOT_REACHED_if_static_stage_not_entered,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,frozen_bracket_upper_plus_30,freeze_candidate
rel.cell.missing_endpoint_lower_residual,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness;signed_residual_rule_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;NOT_REACHED_until_signed_residual_direction_is_owner_frozen_or_if_static_stage_not_entered;VALUE_if_required_endpoint_residual_is_finite;SCIENTIFIC_UNDEFINED_if_reached_endpoint_evaluation_is_nonfinite,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,signed_residual_at_bracket_lower,owner_blocked
rel.cell.missing_endpoint_upper_residual,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness;signed_residual_rule_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;NOT_REACHED_until_signed_residual_direction_is_owner_frozen_or_if_static_stage_not_entered;VALUE_if_required_endpoint_residual_is_finite;SCIENTIFIC_UNDEFINED_if_reached_endpoint_evaluation_is_nonfinite,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,signed_residual_at_bracket_upper,owner_blocked
rel.cell.missing_residual,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness;missingness_bisection_rule_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;NOT_REACHED_until_signed_residual_bracket_predicate_midpoint_equality_update_and_post_100_cached_candidate_selection_rules_are_owner_frozen_or_if_bracket_fails;VALUE_if_selected_cached_candidate_residual_is_finite_even_when_above_1e-10;SCIENTIFIC_UNDEFINED_if_selection_is_attempted_with_nonfinite_residual,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,selected_final_signed_residual,owner_blocked
rel.cell.missing_iteration_count,cell_static_extension,reliability,extension,U16,3_including_2_payload+1_element_state_mask;record_framing_unresolved,nonzero_reader_or_class_missingness;missingness_bracket_and_update_rules_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;INAPPLICABLE_for_m=0_or_MCAR;NOT_REACHED_until_bracket_predicate_and_midpoint_equality_update_rules_are_owner_frozen_or_if_static_stage_not_entered;VALUE_zero_if_required_bracket_fails_or_100_if_bisection_runs,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,realized_midpoint_iterations_zero_or_100,owner_blocked
rel.cell.missing_bracket_state,cell_static_extension,reliability,extension,ENUM8,2_including_1_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell;required_solve_bracket_predicate_owner_blocked,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;VALUE_ENUM_not_required_for_m=0_or_MCAR;NOT_REACHED_for_required_reader_or_class_solve_until_signed_residual_direction_inclusive_endpoint_zero_predicate_and_nonfinite_semantics_are_owner_frozen_or_if_static_stage_not_entered;VALUE_ENUM_pass_or_fail_after_frozen_required_bracket_check;never_INAPPLICABLE_after_static_audit,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,not_required|pass|fail,owner_blocked
rel.cell.truth_alpha_41,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,every_reliability_cell_reaching_truth,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_41,freeze_candidate
rel.cell.truth_alpha_61,cell_static_extension,reliability,extension,F64,9_including_8_payload+1_element_state_mask;record_framing_unresolved,same_as_truth_alpha_41,2bit:VALUE|INAPPLICABLE|SCIENTIFIC_UNDEFINED|NOT_REACHED;non-VALUE_payload=canonical_zero;NaN_prohibited_as_state;one_independent_2bit_state_per_named_scalar_or_fixed_class_element;class_c>=K_g_is_INAPPLICABLE;applicable_element_NOT_REACHED_if_missingness_stage_fails;when_truth_stage_is_reached_both_orders_are_attempted_and_each_applicable_element_is_VALUE_if_finite_else_SCIENTIFIC_UNDEFINED;one_order_or_element_failure_does_not_erase_the_other,persist,finite_but_unresolved_static_extension,cell_lock_or_family_classification,quadrature_order_61,freeze_candidate
